UC_AGENT_BASED
messagesSent
DSA-SDP
median
(20, 588)
confidence interval upper bound
(1, 114)
(2, 227)
(3, 287)
(4, 388)
(5, 389)
(6, 432)
(7, 535)
(8, 621)
(9, 616)
(10, 620)
(11, 634)
(12, 707)
(13, 701)
(14, 708)
(15, 743)
(16, 807)
(17, 758)
(18, 771)
(19, 731)
(20, 753)
confidence interval lower bound
(1, 58)
(2, 143)
(3, 188)
(4, 220)
(5, 266)
(6, 321)
(7, 393)
(8, 451)
(9, 450)
(10, 472)
(11, 456)
(12, 535)
(13, 517)
(14, 579)
(15, 560)
(16, 585)
(17, 546)
(18, 503)
(19, 493)
(20, 499)
